partner_code,source_name,source_note,source_iso_alpha3,source_is_group,partner_type,classification_status,map_iso3,reconciliation_role,source_url,retrieved_at,classification_source_url,classification_note,mapping_source_url,mapping_note
0,World,World,W00,true,world,verified,,world,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,Global total; separate from partner detail,,No individual country geometry for World
740,Suriname,Suriname,SUR,false,country,verified,SUR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Suriname,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
752,Sweden,Sweden,SWE,false,country,verified,SWE,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Sweden,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
757,Switzerland,"Switzerland, Liechtenstein",CHE,false,country,verified,CHE,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Switzerland,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
764,Thailand,Thailand,THA,false,country,verified,THA,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Thailand,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
780,Trinidad and Tobago,Trinidad and Tobago,TTO,false,country,verified,TTO,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Trinidad and Tobago,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
784,United Arab Emirates,United Arab Emirates,ARE,false,country,verified,ARE,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: United Arab Emirates,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
792,Türkiye,Türkiye,TUR,false,country,verified,TUR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: Türkiye,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
807,North Macedonia,North Macedonia,MKD,false,country,verified,MKD,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: North Macedonia,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
826,United Kingdom,United Kingdom,GBR,false,country,verified,GBR,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: United Kingdom of Great Britain and Northern Ireland,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
842,USA,"USA, Puerto Rico and US Virgin Islands",USA,false,country,verified,USA,detail,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json,2026-09-20T07:14:11.139874+00:00,https://comtradeapi.un.org/files/v1/app/reference/partnerAreas.json ; https://unstats.un.org/unsd/methodology/m49/overview/,Reviewed single partner economy; includes countries and territories; M49 name: United States of America,https://unstats.un.org/unsd/methodology/m49/overview/,Comtrade ISO matches UN M49 country/area; map geometry coverage must be checked in visualization phase
